PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,76,72,94.74%,15,15,174,159,,622,537,86.33%,41,41,2409,2229
Hamilton Island,27,22,81.48%,1,1,127,127,,622,537,86.33%,41,41,2409,2229
Hayman Comms,391,330,84.40%,10,10,1271,1118,,622,537,86.33%,41,41,2409,2229
Hayman Diner,9,7,77.78%,2,2,263,262,,622,537,86.33%,41,41,2409,2229
Hayman Stores,62,54,87.10%,3,3,443,440,,622,537,86.33%,41,41,2409,2229
Pallet,45,44,97.78%,3,3,98,90,,622,537,86.33%,41,41,2409,2229
Pick Up Window 2,12,8,66.67%,7,7,33,33,,622,537,86.33%,41,41,2409,2229
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,124,98,79.03%,23,23,512,423,,622,537,86.33%,85,85,2409,2229
Dry,384,359,93.49%,28,28,1467,1417,,622,537,86.33%,85,85,2409,2229
Freezer,70,67,95.71%,26,26,350,310,,622,537,86.33%,85,85,2409,2229
Shed,14,13,92.86%,8,8,80,79,,622,537,86.33%,85,85,2409,2229
,30,0,0.00%,14,0,0,0,,622,537,86.33%,85,85,2409,2229
