user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
Troy,105.55,26.375,4.0725,90.5,21.7,3.08,116.1,33.5,5.03
damir,104.21428571428571,24.414285714285715,4.202857142857143,42.6,9.8,3.12,168.4,41.1,6.33
jackr,96.32000000000001,40.38,1.016,16.8,4.6,0.37,198.9,77.5,1.62
jessek,111.82499999999999,37.375,1.4775,4.7,1.8,0.78,185.7,52.3,2.13
justin,96.33333333333333,28.099999999999998,1.9066666666666665,88.8,24.8,1.7,104.2,29.8,2.17
kane,173.18571428571428,25.12857142857143,2.35,63.7,9.4,1.57,576.9,39.2,3.92
lachlyn,141.16666666666666,32.016666666666666,2.9466666666666668,59.6,14.0,0.23,310.6,53.4,5.78
owenl,305.8,24.5,0.675,108.6,13.7,0.47,503.0,35.3,0.88
simonb,252.4,38.199999999999996,1.0,185.5,34.9,0.53,302.6,40.6,1.87
spiro,38.4,19.933333333333334,1.91,13.5,4.8,0.55,81.6,49.6,2.8
